analyzer-1  | 2025-04-30 22:31:00,784 - analyzer.strategies.base_strategy - INFO - [EMA_Cross_Strategy] Données ajoutées pour BTCUSDC: close=94408.0, time=2025-04-30 22:30:00
analyzer-1  | 2025-04-30 22:31:00,784 - analyzer.strategies.base_strategy - INFO - [Divergence_Strategy] Données ajoutées pour ETHUSDC: close=1794.87, time=2025-04-30 22:30:00
analyzer-1  | 2025-04-30 22:31:00,786 - analyzer.strategies.base_strategy - INFO - [Breakout_Strategy] Données ajoutées pour ETHUSDC: close=1794.87, time=2025-04-30 22:30:00
analyzer-1  | 2025-04-30 22:31:00,786 - analyzer.strategies.base_strategy - INFO - [Bollinger_Strategy] Données ajoutées pour ETHUSDC: close=1794.87, time=2025-04-30 22:30:00
analyzer-1  | 2025-04-30 22:31:00,786 - analyzer.strategies.base_strategy - INFO - [RSI_Strategy] Données ajoutées pour ETHUSDC: close=1794.87, time=2025-04-30 22:30:00
analyzer-1  | 2025-04-30 22:31:00,786 - analyzer.strategies.base_strategy - INFO - [Ride_or_React_Strategy] Données ajoutées pour ETHUSDC: close=1794.87, time=2025-04-30 22:30:00
analyzer-1  | 2025-04-30 22:31:00,788 - analyzer.strategies.base_strategy - INFO - [EMA_Cross_Strategy] Données ajoutées pour ETHUSDC: close=1794.87, time=2025-04-30 22:30:00
analyzer-1  | 2025-04-30 22:31:34,956 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:31:34] "GET /health HTTP/1.1" 200 -
analyzer-1  | 2025-04-30 22:32:00,839 - analyzer.src.redis_subscriber - INFO - 📊 BTCUSDC @ roottrading:market:data:btcusdc: Reçu données de marché, close=94334.01
analyzer-1  | 2025-04-30 22:32:00,840 - analyzer.src.redis_subscriber - INFO - 📊 ETHUSDC @ roottrading:market:data:ethusdc: Reçu données de marché, close=1793.9
analyzer-1  | 2025-04-30 22:32:00,842 - analyzer.strategies.base_strategy - INFO - [Divergence_Strategy] Données ajoutées pour BTCUSDC: close=94334.01, time=2025-04-30 22:31:00
analyzer-1  | 2025-04-30 22:32:00,846 - analyzer.strategies.base_strategy - INFO - [Breakout_Strategy] Données ajoutées pour BTCUSDC: close=94334.01, time=2025-04-30 22:31:00
analyzer-1  | 2025-04-30 22:32:00,846 - analyzer.strategies.base_strategy - INFO - [Bollinger_Strategy] Données ajoutées pour BTCUSDC: close=94334.01, time=2025-04-30 22:31:00
analyzer-1  | 2025-04-30 22:32:00,846 - analyzer.strategies.base_strategy - INFO - [RSI_Strategy] Données ajoutées pour BTCUSDC: close=94334.01, time=2025-04-30 22:31:00
analyzer-1  | 2025-04-30 22:32:00,846 - analyzer.strategies.base_strategy - INFO - [Ride_or_React_Strategy] Données ajoutées pour BTCUSDC: close=94334.01, time=2025-04-30 22:31:00
analyzer-1  | 2025-04-30 22:32:00,850 - analyzer.strategies.base_strategy - INFO - [EMA_Cross_Strategy] Données ajoutées pour BTCUSDC: close=94334.01, time=2025-04-30 22:31:00
