portfolio-1  | 2025-05-01 17:42:05,563 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-05-01 17:42:05,563 - portfolio.src.models - INFO - ✅ PortfolioModel initialisé
portfolio-1  | INFO:     172.21.0.11:40686 - "GET /summary HTTP/1.1" 200 OK
portfolio-1  | 2025-05-01 17:42:05,570 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-05-01 17:42:05,571 - portfolio.src.pockets - INFO - ✅ PocketManager initialisé
portfolio-1  | 2025-05-01 17:42:05,571 - portfolio.src.pockets - INFO - Début update_pockets_allocation avec total_value=1003.1095734
portfolio-1  | 2025-05-01 17:42:05,572 - portfolio.src.pockets - INFO - Poches récupérées: 3 poches
portfolio-1  | 2025-05-01 17:42:05,572 - portfolio.src.pockets - INFO - Poche active: allocation=0.6
portfolio-1  | 2025-05-01 17:42:05,572 - portfolio.src.pockets - INFO - Poche buffer: allocation=0.3
portfolio-1  | 2025-05-01 17:42:05,572 - portfolio.src.pockets - INFO - Poche safety: allocation=0.1
portfolio-1  | 2025-05-01 17:42:05,575 - portfolio.src.pockets - INFO - ✅ Allocation des poches mise à jour (total: 1003.11)
portfolio-1  | INFO:     172.21.0.11:40690 - "PUT /pockets/allocation?total_value=1003.1095734 HTTP/1.1" 200 OK
portfolio-1  | 2025-05-01 17:42:05,579 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-05-01 17:42:05,581 - portfolio.src.pockets - INFO - ✅ PocketManager initialisé
portfolio-1  | INFO:     172.21.0.11:40694 - "GET /pockets HTTP/1.1" 200 OK
portfolio-1  | 2025-05-01 17:42:07,850 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-05-01 17:42:07,850 - portfolio.src.models - INFO - ✅ PortfolioModel initialisé
portfolio-1  | INFO:     172.21.0.10:37052 - "GET /summary HTTP/1.1" 200 OK
portfolio-1  | 2025-05-01 17:42:07,857 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-05-01 17:42:07,857 - portfolio.src.models - INFO - ✅ PortfolioModel initialisé
portfolio-1  | INFO:     172.21.0.10:37058 - "GET /performance/daily?limit=1 HTTP/1.1" 200 OK
portfolio-1  | 2025-05-01 17:42:54,130 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | INFO:     172.21.0.12:41096 - "GET /health HTTP/1.1" 200 OK
portfolio-1  | 2025-05-01 17:42:55,415 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-05-01 17:42:55,416 - portfolio.src.pockets - INFO - ✅ PocketManager initialisé
portfolio-1  | 2025-05-01 17:42:55,427 - portfolio.src.pockets - INFO - ✅ Nombre de cycles actifs recalculé pour toutes les poches
portfolio-1  | 2025-05-01 17:42:55,427 - portfolio.src.pockets - INFO - ✅ Poches synchronisées avec les trades actifs exécutés
portfolio-1  | 2025-05-01 17:42:55,427 - portfolio.src.sync - INFO - 🔄 Synchronisation des poches DB
portfolio-1  | 2025-05-01 17:43:04,479 - portfolio.src.binance_account_manager - INFO - BinanceAccountManager initialisé pour https://api.binance.com
portfolio-1  | 2025-05-01 17:43:04,872 - portfolio.src.binance_account_manager - INFO - Récupéré 5 balances non nulles depuis Binance
portfolio-1  | 2025-05-01 17:43:05,193 - portfolio.src.binance_account_manager - INFO - Récupéré les prix pour 3083 symboles depuis Binance
portfolio-1  | 2025-05-01 17:43:05,193 - portfolio.src.binance_account_manager - INFO - ✅ Valeurs en USDC calculées pour 5/5 actifs
portfolio-1  | 2025-05-01 17:43:05,193 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-05-01 17:43:05,193 - portfolio.src.models - INFO - ✅ PortfolioModel initialisé
portfolio-1  | 2025-05-01 17:43:05,201 - portfolio.src.models - INFO - ✅ Soldes mis à jour pour 5 actifs
portfolio-1  | 2025-05-01 17:43:05,202 - portfolio.src.sync - INFO - ✅ 5 balances sauvegardées et cache invalidé.
portfolio-1  | 2025-05-01 17:43:05,202 - portfolio.src.sync - INFO - 🔄 Balances Binance synchronisées (5 actifs)
portfolio-1  | 2025-05-01 17:43:05,672 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | INFO:     172.21.0.11:45402 - "GET /health HTTP/1.1" 200 OK
